STT,Lx,Qx,Ly,Qy,Lz,Qz,Rx,Ry,Rz,STATUS
41,1.001e-04,0.28,1.040e-04,0.46,1.119e-04,0.26,2.10,5.00,0.71,FAIL
42,1.082e-04,0.43,8.840e-05,0.52,1.109e-04,0.20,4.22,3.55,3.78,FAIL
43,9.593e-05,0.53,1.065e-04,0.19,9.021e-05,0.44,4.08,4.26,1.09,WARNING
44,1.008e-04,0.14,1.143e-04,0.46,1.132e-04,0.31,4.54,0.98,1.30,FAIL
45,9.050e-05,0.29,8.666e-05,0.42,1.007e-04,0.12,4.67,2.37,4.97,FAIL
46,9.283e-05,0.41,1.084e-04,0.16,1.124e-04,0.17,0.62,4.92,2.16,FAIL
47,1.022e-04,0.52,8.836e-05,0.49,9.688e-05,0.30,1.11,3.20,2.98,FAIL
48,1.103e-04,0.32,8.819e-05,0.15,8.769e-05,0.49,1.36,1.14,3.29,FAIL
49,9.442e-05,0.56,1.126e-04,0.44,1.144e-04,0.11,2.86,3.99,2.27,FAIL
50,1.031e-04,0.41,1.002e-04,0.22,1.146e-04,0.39,4.43,3.06,0.79,FAIL
51,1.104e-04,0.30,1.124e-04,0.43,9.301e-05,0.32,1.64,1.29,3.62,FAIL
52,1.040e-04,0.45,9.430e-05,0.34,9.513e-05,0.55,4.11,4.22,4.10,PASS
53,1.024e-04,0.16,9.253e-05,0.24,1.011e-04,0.42,4.94,4.23,4.69,WARNING
54,8.944e-05,0.31,9.996e-05,0.15,8.767e-05,0.27,0.59,1.42,1.55,FAIL
55,9.295e-05,0.21,1.098e-04,0.57,1.137e-04,0.34,4.26,3.54,2.44,FAIL
56,9.489e-05,0.18,1.090e-04,0.16,8.793e-05,0.49,3.21,4.98,3.74,FAIL
57,1.018e-04,0.45,1.027e-04,0.52,1.010e-04,0.33,4.02,2.93,1.76,PASS
58,1.071e-04,0.33,1.054e-04,0.34,1.038e-04,0.35,4.60,0.84,0.61,WARNING
59,8.611e-05,0.37,1.035e-04,0.18,9.252e-05,0.58,3.10,3.92,0.79,FAIL
60,9.953e-05,0.32,1.128e-04,0.40,9.651e-05,0.18,4.24,1.71,4.06,FAIL
61,1.028e-04,0.27,1.028e-04,0.54,1.115e-04,0.18,2.81,3.36,1.78,FAIL
62,1.135e-04,0.20,1.145e-04,0.26,1.015e-04,0.46,0.67,2.72,0.67,FAIL
63,8.718e-05,0.48,9.852e-05,0.33,9.318e-05,0.17,0.72,1.07,4.12,FAIL
64,9.799e-05,0.37,1.096e-04,0.38,1.074e-04,0.12,1.81,3.81,4.56,WARNING
65,1.067e-04,0.22,9.273e-05,0.39,9.953e-05,0.59,3.21,4.76,3.20,WARNING
66,1.080e-04,0.18,9.659e-05,0.35,1.099e-04,0.42,0.54,1.84,3.95,WARNING
67,8.530e-05,0.43,8.903e-05,0.39,1.059e-04,0.55,3.13,0.66,2.81,FAIL
68,8.911e-05,0.44,9.155e-05,0.14,8.815e-05,0.35,4.47,3.00,4.99,FAIL
69,9.612e-05,0.51,9.660e-05,0.33,1.054e-04,0.23,1.98,4.12,1.30,PASS
70,1.037e-04,0.56,9.961e-05,0.55,1.135e-04,0.13,3.98,2.74,3.31,FAIL
71,8.618e-05,0.50,1.107e-04,0.33,1.063e-04,0.32,2.10,2.86,1.06,FAIL
72,8.624e-05,0.51,1.074e-04,0.36,1.138e-04,0.14,2.10,1.82,4.69,FAIL
73,1.104e-04,0.13,8.952e-05,0.45,8.898e-05,0.25,4.14,3.12,1.96,FAIL
74,9.742e-05,0.29,1.018e-04,0.54,9.335e-05,0.18,1.41,1.02,1.84,PASS
75,9.775e-05,0.37,9.858e-05,0.43,1.014e-04,0.37,1.29,1.48,1.38,PASS
76,9.246e-05,0.55,9.213e-05,0.29,1.009e-04,0.50,2.35,3.42,2.75,WARNING
77,1.017e-04,0.56,9.753e-05,0.46,8.941e-05,0.31,0.83,3.37,2.97,FAIL
78,9.236e-05,0.16,9.277e-05,0.12,8.722e-05,0.13,3.78,2.46,3.92,FAIL
79,9.168e-05,0.12,9.198e-05,0.44,9.260e-05,0.40,4.94,4.16,3.73,WARNING
80,9.159e-05,0.49,9.840e-05,0.27,8.585e-05,0.14,2.67,1.16,3.90,FAIL
81,1.037e-04,0.35,8.776e-05,0.57,1.063e-04,0.25,3.49,0.88,2.14,FAIL
82,9.110e-05,0.19,8.865e-05,0.44,8.915e-05,0.33,1.45,4.61,2.27,FAIL
83,1.093e-04,0.16,1.083e-04,0.22,8.825e-05,0.39,3.18,3.64,2.71,FAIL
84,8.778e-05,0.10,9.791e-05,0.26,9.252e-05,0.46,3.30,4.75,3.46,FAIL
85,1.044e-04,0.53,8.994e-05,0.18,9.218e-05,0.11,4.98,3.26,1.85,FAIL
86,1.059e-04,0.45,8.609e-05,0.52,1.075e-04,0.13,1.83,4.41,4.00,FAIL
87,9.084e-05,0.21,8.526e-05,0.49,1.012e-04,0.20,1.62,0.75,1.51,FAIL
88,8.536e-05,0.37,1.012e-04,0.60,1.041e-04,0.30,3.05,1.25,0.65,FAIL
89,8.858e-05,0.16,1.094e-04,0.41,9.525e-05,0.12,1.81,4.22,1.42,FAIL
90,1.031e-04,0.39,1.072e-04,0.17,1.131e-04,0.44,2.06,3.56,1.16,FAIL
91,1.086e-04,0.56,1.007e-04,0.28,1.116e-04,0.44,4.17,2.16,2.85,FAIL
92,1.147e-04,0.51,1.042e-04,0.54,1.066e-04,0.27,3.55,3.91,3.25,FAIL
93,1.015e-04,0.29,9.062e-05,0.52,1.116e-04,0.56,3.65,2.90,3.90,FAIL
94,1.022e-04,0.51,9.495e-05,0.13,1.123e-04,0.34,1.01,2.58,3.74,FAIL
95,9.571e-05,0.46,1.094e-04,0.39,1.002e-04,0.50,1.46,4.60,0.81,WARNING
96,9.975e-05,0.49,1.087e-04,0.57,1.052e-04,0.48,2.96,4.85,2.72,WARNING
97,9.584e-05,0.17,1.108e-04,0.18,9.941e-05,0.50,2.83,4.17,0.65,FAIL
98,1.071e-04,0.47,1.046e-04,0.58,1.072e-04,0.50,4.15,2.78,3.78,WARNING
99,8.612e-05,0.60,1.019e-04,0.12,9.645e-05,0.33,2.58,4.76,1.69,FAIL
100,8.964e-05,0.50,1.094e-04,0.37,1.001e-04,0.29,1.99,1.31,4.21,FAIL
101,1.017e-04,0.50,9.768e-05,0.30,1.119e-04,0.57,3.72,0.77,1.09,FAIL
102,8.782e-05,0.28,1.045e-04,0.24,9.161e-05,0.15,1.23,2.24,4.90,FAIL
103,8.575e-05,0.47,9.089e-05,0.55,9.711e-05,0.31,2.60,0.69,4.63,FAIL
104,1.099e-04,0.49,1.058e-04,0.39,9.181e-05,0.23,0.78,1.27,3.04,WARNING
105,1.082e-04,0.45,1.045e-04,0.19,1.003e-04,0.50,1.74,4.40,1.59,WARNING
106,8.553e-05,0.51,1.055e-04,0.48,1.072e-04,0.26,1.29,2.42,2.05,FAIL
107,1.075e-04,0.52,9.226e-05,0.25,1.034e-04,0.54,3.65,0.57,1.09,WARNING
108,9.236e-05,0.14,1.097e-04,0.31,9.560e-05,0.44,1.31,1.74,4.96,WARNING
109,1.111e-04,0.27,9.503e-05,0.37,1.001e-04,0.50,2.45,3.32,3.07,FAIL
110,9.739e-05,0.33,1.150e-04,0.52,8.655e-05,0.55,2.04,3.04,1.95,FAIL
111,8.751e-05,0.18,9.375e-05,0.54,1.082e-04,0.35,1.20,2.98,3.14,FAIL
112,8.780e-05,0.30,1.054e-04,0.17,1.132e-04,0.27,3.82,0.62,1.06,FAIL
113,9.501e-05,0.39,9.644e-05,0.15,1.016e-04,0.58,2.73,4.51,4.89,PASS
114,9.358e-05,0.24,1.063e-04,0.58,1.025e-04,0.53,2.75,4.60,3.51,PASS
115,1.102e-04,0.59,1.049e-04,0.15,1.060e-04,0.56,4.73,1.34,3.91,FAIL
116,1.012e-04,0.43,1.026e-04,0.19,8.823e-05,0.53,2.03,2.62,1.79,FAIL
117,1.147e-04,0.24,1.017e-04,0.35,9.125e-05,0.53,4.60,1.24,0.91,FAIL
118,1.124e-04,0.26,9.942e-05,0.46,1.041e-04,0.50,2.87,2.79,2.20,FAIL
119,1.133e-04,0.19,1.115e-04,0.14,1.066e-04,0.35,4.23,2.20,4.99,FAIL
120,1.050e-04,0.55,8.908e-05,0.22,1.024e-04,0.55,1.94,4.07,0.93,FAIL
121,1.033e-04,0.19,1.032e-04,0.53,9.446e-05,0.39,1.86,3.06,2.49,PASS
122,1.149e-04,0.19,1.049e-04,0.32,1.130e-04,0.11,4.14,1.61,4.99,FAIL
123,1.030e-04,0.58,8.835e-05,0.29,1.120e-04,0.56,4.93,3.12,3.78,FAIL
124,1.127e-04,0.22,1.002e-04,0.31,9.970e-05,0.21,2.82,0.62,4.85,FAIL
125,9.935e-05,0.17,1.040e-04,0.59,1.110e-04,0.30,1.75,0.84,3.15,FAIL
